,0,1,2,3
0,アデノ,earlier,7,0.559
1,アデノウイルス,earlier,7,0.558
2,アフタ,latter,9,0.143
3,アレルギー,earlier,19,0.42
4,インフル,latter,19,0.36
5,インフルエンザ,latter,19,0.383
6,ウイルス,earlier,9,0.207
7,うがい,latter,19,0.4
8,エンテロ,earlier,3,0.153
9,エンテロウイルス,earlier,5,0.012
10,お腹,earlier,7,0.316
11,かゆい,earlier,19,0.371
12,クラミジア,latter,5,0.133
13,コクサッキー,earlier,2,0.216
14,こども,latter,15,0.462
15,コロナ,earlier,1,0.012
16,チフス,earlier,4,0.084
17,ノロ,latter,19,0.11
18,ぶつぶつ,earlier,1,0.42
19,プツプツ,earlier,2,0.478
20,ヘルパンギーナ,conincide,0,0.575
21,ヘルペス,latter,19,0.267
22,ホジキン,latter,19,0.017
23,ボツボツ,earlier,1,0.227
24,ポツポツ,earlier,2,0.516
25,マイコプラズマ,latter,17,-0.031
26,リンパ腫,latter,19,0.196
27,レジオネラ,earlier,18,0.282
28,ワクチン,latter,17,0.662
29,下痢,earlier,7,0.267
30,丘疹,earlier,8,0.124
31,乳児,earlier,7,0.107
32,乳幼児,earlier,8,0.051
33,休み,latter,2,0.428
34,保育園,earlier,5,0.361
35,受診,latter,19,0.202
36,口内,earlier,19,0.084
37,口内炎,conincide,0,0.52
38,口腔,earlier,19,0.248
39,咽頭,earlier,2,0.36
40,嘔吐,latter,19,0.218
41,夏風邪,latter,1,0.598
42,大人,earlier,1,0.669
43,子ども,earlier,5,0.096
44,子供,earlier,11,0.248
45,学童,earlier,3,0.124
46,小児,earlier,7,0.296
47,小児科,latter,17,0.529
48,幼児,earlier,7,0.069
49,幼稚園,earlier,7,0.274
50,微熱,latter,19,0.07
51,手のひら,earlier,6,0.459
52,手掌,earlier,10,0.118
53,手洗い,latter,15,0.255
54,手足,earlier,1,0.976
55,敗血症,latter,12,0.338
56,水泡,conincide,0,0.678
57,水疱,earlier,1,0.595
58,水疱瘡,earlier,5,0.411
59,水痘,latter,19,0.177
60,消毒,latter,19,0.078
61,湿疹,earlier,6,0.451
62,溶連菌,earlier,7,0.355
63,激痛,latter,2,0.093
64,特効薬,earlier,19,0.129
65,疱疹,earlier,1,0.385
66,疲れ,earlier,9,0.47
67,病院,earlier,7,0.239
68,痒く,conincide,0,0.554
69,痒み,earlier,8,0.272
70,痛い,earlier,10,0.305
71,痛く,earlier,19,0.245
72,痛み,earlier,19,0.203
73,発熱,latter,19,0.096
74,発疹,earlier,1,0.791
75,皮膚,earlier,7,0.519
76,皮膚科,latter,1,0.422
77,紅斑,earlier,1,0.376
78,結膜炎,earlier,8,0.447
79,肺炎,latter,18,0.099
80,胃腸炎,latter,19,0.159
81,腫れ,earlier,3,0.513
82,蕁麻疹,earlier,3,0.58
83,解熱,latter,19,0.233
84,解熱剤,latter,19,0.177
85,診断,earlier,16,0.218
86,赤ちゃん,earlier,7,0.21
87,足底,earlier,4,0.437
88,足裏,earlier,6,0.512
89,頭痛,earlier,19,0.032
90,風疹,earlier,6,0.017
91,風邪,latter,18,0.403
92,食欲,earlier,7,0.08
93,髄膜炎,conincide,0,0.304
94,高熱,earlier,1,0.147
95,麻疹,earlier,8,0.077
96,鼻水,latter,18,0.326
